sample_name,abdominal,caudal,img_name,crosses,plates,wells
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCG9_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCG9,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_G9.tif,95-1_Female_x_129-1_Male,plate1,G9
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCH1_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCH1,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_H1.tif,95-1_Female_x_129-1_Male,plate1,H1
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCH2_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCH2,12,19,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_H2.tif,95-1_Female_x_129-1_Male,plate1,H2
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCH3_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCH3,13,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_H3.tif,95-1_Female_x_129-1_Male,plate1,H3
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCH4_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCH4,12,19,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_H4.tif,95-1_Female_x_129-1_Male,plate1,H4
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCH5_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCH5,12,19,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_H5.tif,95-1_Female_x_129-1_Male,plate1,H5
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCH6_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCH6,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_H6.tif,95-1_Female_x_129-1_Male,plate1,H6
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCH7_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCH7,12,19,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_H7.tif,95-1_Female_x_129-1_Male,plate1,H7
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate2F2VCA1_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate2F2VCA1,13,16,PLATE 2 F2 VC_Male 95-1 F14 x Female 129-1 F14_A1.tif,95-1_Male_x_129-1_Female,plate2,A1
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate2F2VCA10_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate2F2VCA10,12,17,PLATE 2 F2 VC_Male 95-1 F14 x Female 129-1 F14_A10.tif,95-1_Male_x_129-1_Female,plate2,A10
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate2F2VCA11_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate2F2VCA11,13,17,PLATE 2 F2 VC_Male 95-1 F14 x Female 129-1 F14_A11.tif,95-1_Male_x_129-1_Female,plate2,A11
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate2F2VCA12_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate2F2VCA12,12,18,PLATE 2 F2 VC_Male 95-1 F14 x Female 129-1 F14_A12.tif,95-1_Male_x_129-1_Female,plate2,A12
